,datas,exames
0,2020-01-01 00:00:00,2
1,2020-01-02 00:00:00,2
2,2020-01-03 00:00:00,2
3,2020-01-04 00:00:00,1
4,2020-01-05 00:00:00,1
5,2020-01-07 00:00:00,3
6,2020-01-08 00:00:00,2
7,2020-01-10 00:00:00,4
8,2020-01-11 00:00:00,2
9,2020-01-13 00:00:00,1
10,2020-01-14 00:00:00,1
11,2020-01-15 00:00:00,1
12,2020-01-16 00:00:00,1
13,2020-01-17 00:00:00,2
14,2020-01-18 00:00:00,2
15,2020-01-20 00:00:00,5
16,2020-01-22 00:00:00,1
17,2020-01-23 00:00:00,1
18,2020-01-24 00:00:00,2
19,2020-01-26 00:00:00,2
20,2020-01-27 00:00:00,1
21,2020-01-28 00:00:00,1
22,2020-01-29 00:00:00,4
23,2020-01-30 00:00:00,7
24,2020-01-31 00:00:00,3
25,2020-02-01 00:00:00,6
26,2020-02-02 00:00:00,8
27,2020-02-03 00:00:00,12
28,2020-02-04 00:00:00,3
29,2020-02-05 00:00:00,4
30,2020-02-06 00:00:00,7
31,2020-02-07 00:00:00,5
32,2020-02-08 00:00:00,2
33,2020-02-09 00:00:00,3
34,2020-02-10 00:00:00,2
35,2020-02-11 00:00:00,3
36,2020-02-12 00:00:00,8
37,2020-02-13 00:00:00,4
38,2020-02-14 00:00:00,3
39,2020-02-15 00:00:00,10
40,2020-02-16 00:00:00,12
41,2020-02-17 00:00:00,6
42,2020-02-18 00:00:00,4
43,2020-02-19 00:00:00,6
44,2020-02-20 00:00:00,6
45,2020-02-21 00:00:00,4
46,2020-02-22 00:00:00,14
47,2020-02-23 00:00:00,2
48,2020-02-24 00:00:00,3
49,2020-02-25 00:00:00,8
50,2020-02-26 00:00:00,12
51,2020-02-27 00:00:00,7
52,2020-02-28 00:00:00,11
53,2020-02-29 00:00:00,1
54,2020-03-01 00:00:00,12
55,2020-03-02 00:00:00,21
56,2020-03-03 00:00:00,10
57,2020-03-04 00:00:00,7
58,2020-03-05 00:00:00,7
59,2020-03-06 00:00:00,12
60,2020-03-07 00:00:00,10
61,2020-03-08 00:00:00,9
62,2020-03-09 00:00:00,11
63,2020-03-10 00:00:00,9
64,2020-03-11 00:00:00,26
65,2020-03-12 00:00:00,31
66,2020-03-13 00:00:00,35
67,2020-03-14 00:00:00,66
68,2020-03-15 00:00:00,71
69,2020-03-16 00:00:00,262
70,2020-03-17 00:00:00,246
71,2020-03-18 00:00:00,440
72,2020-03-18 03:00:00,1
73,2020-03-18 06:00:00,1
74,2020-03-19 00:00:00,501
75,2020-03-20 00:00:00,631
76,2020-03-21 00:00:00,623
77,2020-03-21 03:00:00,1
78,2020-03-21 06:00:00,2
79,2020-03-22 00:00:00,577
80,2020-03-22 03:00:00,2
81,2020-03-22 06:00:00,2
82,2020-03-23 00:00:00,836
83,2020-03-23 03:00:00,1
84,2020-03-23 06:00:00,4
85,2020-03-24 00:00:00,960
86,2020-03-24 03:00:00,1
87,2020-03-24 06:00:00,7
