,datas
0,2020-04-10
1,2020-06-15
2,2020-06-05
3,2020-06-04
4,2020-07-29
5,2020-05-11
6,2020-06-04
7,2020-08-21
8,2020-06-15
9,2020-05-10
10,2020-05-04
11,2020-05-11
12,2020-05-28
13,2020-06-05
14,2020-08-16
15,2020-05-05
16,2020-05-18
17,2020-08-05
18,2020-06-04
19,2020-09-28
20,2020-06-25
21,2020-05-24
22,2020-05-16
23,2020-07-28
24,2020-07-27
25,2020-07-12
26,2020-04-21
27,2020-07-03
28,2020-05-10
29,2020-07-12
30,2020-06-16
31,2020-06-28
32,2020-05-20
33,2020-05-01
34,2020-05-17
35,2020-06-17
36,2020-05-25
37,2020-04-28
38,2020-05-21
39,2020-05-17
40,2020-05-12
41,2020-05-01
42,2020-06-12
43,2020-09-08
44,2020-07-27
45,2020-07-04
46,2020-05-14
47,2020-06-18
48,2020-06-05
49,2020-04-25
50,2020-05-27
51,2020-06-22
52,2020-08-17
53,2020-05-08
54,2020-10-12
55,2020-06-17
56,2020-06-05
57,2020-05-05
58,2020-06-05
59,2020-05-22
60,2020-05-18
61,2020-05-14
62,2020-05-03
63,2020-07-24
64,2020-05-03
65,2020-06-14
66,2020-07-29
67,2020-09-16
68,2020-05-24
69,2020-07-26
70,2020-09-05
71,2020-04-30
72,2020-05-11
73,2020-05-16
74,2020-05-11
75,2020-10-12
76,2020-05-18
77,2020-04-04
78,2020-05-31
79,2020-08-25
80,2020-06-22
81,2020-06-23
82,2020-04-11
83,2020-05-17
84,2020-06-10
85,2020-05-20
86,2020-04-19
87,2020-06-07
88,2020-05-29
89,2020-05-13
90,2020-06-10
91,2020-08-08
92,2020-09-04
93,2020-09-03
94,2020-05-09
95,2020-05-25
96,2020-08-20
97,2020-10-06
98,2020-05-08
99,2020-06-01
100,2020-04-28
101,2020-06-01
102,2020-09-16
103,2020-05-23
104,2020-07-30
105,2020-05-25
106,2020-05-04
107,2020-05-04
108,2020-05-13
109,2020-09-04
110,2020-07-27
111,2020-05-28
112,2020-08-06
113,2020-05-14
114,2020-07-12
115,2020-04-25
116,2020-06-08
117,2020-05-09
118,2020-05-22
119,2020-05-27
120,2020-05-25
121,2020-05-26
122,2020-07-07
123,2020-05-19
124,2020-06-18
125,2020-06-25
126,2020-05-01
127,2020-06-05
128,2020-06-22
129,2020-07-09
130,2020-05-10
131,2020-04-30
132,2020-05-15
133,2020-05-05
134,2020-09-20
135,2020-09-07
136,2020-05-17
137,2020-05-10
138,2020-05-16
139,2020-06-20
140,2020-05-19
141,2020-05-16
142,2020-06-08
143,2020-04-10
144,2020-05-17
145,2020-07-02
146,2020-06-03
147,2020-05-31
148,2020-06-08
149,2020-05-11
150,2020-08-17
151,2020-08-08
152,2020-04-06
153,2020-05-14
154,2020-08-16
155,2020-07-12
156,2020-07-15
157,2020-08-26
158,2020-06-26
159,2020-06-13
160,2020-05-06
161,2020-06-06
162,2020-04-21
163,2020-08-17
164,2020-10-03
165,2020-06-11
166,2020-05-21
167,2020-05-27
168,2020-04-22
169,2020-10-30
170,2020-05-24
171,2020-07-02
172,2020-10-02
173,2020-05-28
174,2020-04-27
175,2020-06-03
176,2020-05-08
177,2020-05-19
178,2020-07-08
179,2020-10-18
180,2020-05-15
181,2020-05-22
182,2020-04-04
183,2020-07-24
184,2020-08-29
185,2020-05-12
186,2020-05-23
187,2020-06-01
188,2020-06-07
189,2020-05-04
190,2020-05-05
191,2020-05-17
192,2020-08-17
193,2020-05-17
194,2020-10-05
195,2020-05-11
196,2020-05-18
197,2020-06-06
198,2020-04-01
199,2020-06-16
200,2020-09-01
201,2020-05-09
202,2020-06-12
203,2020-06-19
204,2020-08-12
205,2020-05-19
206,2020-06-16
207,2020-05-18
208,2020-05-13
209,2020-07-03
210,2020-05-29
211,2020-07-16
212,2020-05-26
213,2020-04-24
214,2020-05-13
215,2020-06-23
216,2020-09-11
217,2020-09-06
218,2020-09-28
219,2020-05-25
220,2020-10-30
